"name","icpsr","state","party","congress","chamber","born","died","image","source","provenance"
"MAGEE, Walter Warren","005909","New York","Republican Party",69,"House",1861,1927,"images/bio_guide/005909.jpg","bio_guide",""
"MEANS, Rice William","006400","Colorado","Republican Party",69,"Senate",1877,1949,"images/bio_guide/006400.jpg","bio_guide",""
"MILLS, Ogden Livingston","006530","New York","Republican Party",69,"House",1884,1937,"images/bio_guide/006530.jpg","bio_guide",""
"MONTGOMERY, Samuel James","006606","Oklahoma","Republican Party",69,"House",1896,1957,"images/bio_guide/006606.jpg","bio_guide",""
"McKINLEY, William Brown","006313","Illinois","Republican Party",69,"Senate",1856,1926,"images/bio_guide/006313.jpg","bio_guide",""
"McLAUGHLIN, Melvin Orlando","006329","Nebraska","Republican Party",69,"House",1876,1928,"images/bio_guide/006329.jpg","bio_guide",""
"NEWTON, Cleveland Alexander","006903","Missouri","Republican Party",69,"House",1873,1945,"images/bio_guide/006903.jpg","bio_guide",""
"PATTERSON, Francis Ford, Jr.","007240","New Jersey","Republican Party",69,"House",1867,1935,"images/bio_guide/007240.jpg","bio_guide",""
"PEPPER, George Wharton","007334","Pennsylvania","Republican Party",69,"Senate",1867,1961,"images/bio_guide/007334.jpg","bio_guide",""
"PERLMAN, Nathan David","007352","New York","Republican Party",69,"House",1887,1952,"images/bio_guide/007352.jpg","bio_guide",""
"PHILLIPS, Thomas Wharton, Jr.","007419","Pennsylvania","Republican Party",69,"House",1874,1956,"images/bio_guide/007419.jpg","bio_guide",""
"RAKER, John Edward","007696","California","Democratic Party",69,"House",1863,1926,"images/bio_guide/007696.jpg","bio_guide",""
"RALSTON, Samuel Moffett","007697","Indiana","Democratic Party",69,"Senate",1857,1925,"images/bio_guide/007697.jpg","bio_guide",""
"ROGERS, John Jacob","008031","Massachusetts","Republican Party",69,"House",1881,1925,"images/bio_guide/008031.jpg","bio_guide",""
"ROUSE, Arthur Blythe","008083","Kentucky","Democratic Party",69,"House",1874,1956,"images/bio_guide/008083.jpg","bio_guide",""
"SCOTT, Frank Douglas","008296","Michigan","Republican Party",69,"House",1878,1951,"images/bio_guide/008296.jpg","bio_guide",""
"SMITHWICK, John Harris","008712","Florida","Democratic Party",69,"House",1872,1948,"images/bio_guide/008712.jpg","bio_guide",""
"SOSNOWSKI, John Bartholomew","008743","Michigan","Republican Party",69,"House",1883,1968,"images/bio_guide/008743.jpg","bio_guide",""
"SPENCER, Selden Palmer","008790","Missouri","Republican Party",69,"Senate",1862,1925,"images/bio_guide/008790.jpg","bio_guide",""
"STANFIELD, Robert Nelson","008834","Oregon","Republican Party",69,"Senate",1877,1945,"images/bio_guide/008834.jpg","bio_guide",""
"STEPHENS, Ambrose Everett Burnside","008886","Ohio","Republican Party",69,"House",1862,1927,"images/bio_guide/008886.jpg","bio_guide",""
"STEWART, David Wallace","008933","Iowa","Republican Party",69,"Senate",1887,1974,"images/bio_guide/008933.jpg","bio_guide",""
"SWARTZ, Joshua William","009109","Pennsylvania","Republican Party",69,"House",1867,1959,"images/bio_guide/009109.jpg","bio_guide",""
"SWOOPE, William Irvin","009133","Pennsylvania","Republican Party",69,"House",1862,1930,"images/bio_guide/009133.jpg","bio_guide",""
"TAYLOR, Herbert Worthington","009211","New Jersey","Republican Party",69,"House",1869,1931,"images/bio_guide/009211.jpg","bio_guide",""
"TAYLOR, James Alfred","009213","West Virginia","Democratic Party",69,"House",1878,1956,"images/bio_guide/009213.jpg","bio_guide",""
"THAYER, Harry Irving","009274","Massachusetts","Republican Party",69,"House",1869,1926,"images/bio_guide/009274.jpg","bio_guide",""
"THOMAS, Robert Young, Jr.","009309","Kentucky","Democratic Party",69,"House",1855,1925,"images/wiki/009309.jpg","wiki",""
"TINCHER, Jasper Napoleon","009394","Kansas","Republican Party",69,"House",1878,1951,"images/bio_guide/009394.jpg","bio_guide",""
"TOLLEY, Harold Sumner","009410","New York","Republican Party",69,"House",1894,1956,"images/bio_guide/009410.jpg","bio_guide",""
"UNDERWOOD, Oscar Wilder","009560","Alabama","Democratic Party",69,"Senate",1862,1929,"images/bio_guide/009560.jpg","bio_guide",""
"UPSHAW, William David","009571","Georgia","Democratic Party",69,"House",1866,1952,"images/bio_guide/009571.jpg","bio_guide",""
"VAILE, William Newell","009585","Colorado","Republican Party",69,"House",1876,1927,"images/bio_guide/009585.jpg","bio_guide",""
"VARE, William Scott","009647","Pennsylvania","Republican Party",69,"House",1867,1934,"images/bio_guide/009647.jpg","bio_guide",""
"VOIGT, Edward","009680","Wisconsin","Republican Party",69,"House",1873,1934,"images/bio_guide/009680.jpg","bio_guide",""
